_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
339400,339400,Runestone Keeper,Blackfire,Cimugames,,2400,2036,364,0,"200,000 .. 500,000",1174,0,620,0,999,"9,99",999,0,7,,
339830,339830,The Church in the Darkness ,Paranoid Productions,Fellow Traveller,,111,68,43,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,0,,
340030,340030,Dungeon of gain,Defroids team,Defroids team,,52,7,45,0,"50,000 .. 100,000",321,0,438,0,499,"4,99",499,0,0,,
340490,340490,Subterrain,Pixellore Inc,Pixellore Inc,,1173,918,255,0,"50,000 .. 100,000",154,0,182,0,1699,"16,99",1699,0,9,,
340520,340520,Tallowmere,Chris McFarland,Chris McFarland,,760,694,66,0,"100,000 .. 200,000",323,0,418,0,399,"3,99",399,0,0,,
341150,341150,Age of Fear 2: The Chaos Lord GOLD,Leslaw Sliwko,Age of Fear,,306,247,59,0,"20,000 .. 50,000",222,0,308,0,2499,"24,99",2499,0,2,,
342080,342080,Rogue Invader,Squishy Games,Squishy Games,,24,23,1,0,"20,000 .. 50,000",0,0,0,0,1499,"14,99",1499,0,1,,
342130,342130,Hashtag Dungeon,Hitpoint Games Ltd.,Hitpoint Games Ltd.,,34,20,14,0,"0 .. 20,000",157,0,164,0,0,0,0,0,0,,
342550,342550,Phantasmal: Survival Horror Roguelike,Eyemobi Ltd.,Eyemobi Ltd.,,306,139,167,0,"20,000 .. 50,000",78,0,120,0,0,0,0,0,1,,
343100,343100,Overture,Black Shell Games,Plug In Digital,,1198,922,276,0,"200,000 .. 500,000",255,0,313,0,499,"4,99",499,0,27,,
344740,344740,CRYPTARK,Alientrap,Alientrap,,942,798,144,0,"100,000 .. 200,000",1704,49,3329,49,1499,"14,99",1499,0,1,,
345080,345080,Flame Over,Laughing Jackal LTD,Ghostlight LTD,,163,117,46,0,"0 .. 20,000",249,0,249,0,1199,"11,99",1199,0,0,,
346340,346340,Gran Vitreous,Heliocentric Studios,Heliocentric Studios,,31,24,7,0,"0 .. 20,000",244,0,244,0,499,"4,99",499,0,1,,
347160,347160,Steredenn,Pixelnest Studio,"Pixelnest Studio, PID Games",,839,737,102,0,"100,000 .. 200,000",184,0,184,0,1299,"12,99",1299,0,3,,
349730,349730,Popup Dungeon,Triple.B.Titles,Humble Games,,850,655,195,0,"20,000 .. 50,000",206,0,293,0,2499,"24,99",2499,0,22,,
350150,350150,Scraps: Modular Vehicle Combat,Moment Studio,Moment Studio,,145,109,36,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,1,,
356820,356820,Nemo Dungeon,RedPain,RedPain,,55,48,7,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0,,
357330,357330,Space Beast Terror Fright,nornware AB,nornware AB,,1305,1205,100,0,"50,000 .. 100,000",331,0,438,0,1499,"14,99",1499,0,34,,
357700,357700,Rogue Continuum,Rocktastic Games,Rocktastic Games,,22,19,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0,0,,
358080,358080,No Turning Back: The Pixel Art Action-Adventure Roguelike,"ColloseusX, cpmilan",Phat Phrog Studios,,228,124,104,0,"50,000 .. 100,000",412,0,216,0,299,"2,99",299,0,1,,
358130,358130,Curious Expedition,Maschinen-Mensch,Maschinen-Mensch,,3651,3323,328,0,"100,000 .. 200,000",367,0,238,0,1499,"14,99",1499,0,43,,
358830,358830,Good Robot,Pyrodactyl,Pyrodactyl,,245,207,38,0,"20,000 .. 50,000",190,0,242,0,899,"8,99",899,0,0,,
359280,359280,Heroes of Loot,Orangepixel,Orangepixel,,82,56,26,0,"20,000 .. 50,000",174,0,180,0,499,"4,99",499,0,0,,
359960,359960,Choice Chamber,Studio Bean,Studio Bean,,269,198,71,0,"20,000 .. 50,000",183,0,234,0,999,"9,99",999,0,0,,
360740,360740,Downwell,Moppin,Devolver Digital,,7000,6778,222,0,"200,000 .. 500,000",187,0,115,0,299,"2,99",299,0,21,,
362090,362090,Siralim,Thylacine Studios,Thylacine Studios LLC,,246,214,32,0,"20,000 .. 50,000",541,0,543,0,999,"9,99",999,0,3,,
363420,363420,Leap of Fate,Clever Plays,Clever Plays,,430,381,49,0,"50,000 .. 100,000",59,0,112,0,1599,"15,99",1599,0,2,,
363930,363930,Dead Age,Silent Dreams,Headup,,5014,4119,895,0,"200,000 .. 500,000",365,0,467,0,1499,"14,99",1499,0,12,,
364200,364200,Farabel,Frogames,"Frogames, Goblinz Digital, indienova",,106,78,28,0,"0 .. 20,000",151,0,151,0,999,"9,99",999,0,0,,
364300,364300,Space Rogue,Red Beat,Red Beat,,443,287,156,0,"50,000 .. 100,000",256,0,263,0,999,"9,99",999,0,0,,
364420,364420,Roguelands,SmashGames,SmashGames,,3634,2922,712,0,"200,000 .. 500,000",746,0,535,0,999,"9,99",999,0,19,,
