_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
517710,517710,Redout: Enhanced Edition,34BigThings srl,34BigThings srl,4232,3611,621,0,"50,000 .. 100,000",294,2,185,2,799,1999,60,12,,,
1262600,1262600,Need for Speed Rivals,Criterion Games,Electronic Arts,4232,3146,1086,0,"500,000 .. 1,000,000",549,945,216,945,1999,1999,0,51,,,
952040,952040,MUSYNX,I-Inferno,Zodiac Interactive,4217,3693,524,0,"200,000 .. 500,000",208,50,89,96,399,399,0,75,,,
389140,389140,Horizon Chase Turbo,AQUIRIS,AQUIRIS,4198,3942,256,0,"100,000 .. 200,000",944,726,1172,726,1999,1999,0,34,,,
840260,840260,Endless World Idle RPG,Radiance Games,Radiance Games,4067,3208,859,0,"200,000 .. 500,000",4056,0,5839,0,0,0,0,178,,,
586980,586980,MadOut2 BigCityOnline [CLOSED],MadOut Games,MadOut Games,4002,3064,938,0,"200,000 .. 500,000",126,0,102,0,0,0,0,66,,,
12360,12360,FlatOut: Ultimate Carnage,Bugbear Entertainment,Strategy First,3950,3407,543,0,"200,000 .. 500,000",445,0,187,0,399,1999,80,33,,,
331360,331360,Heavy Metal Machines,Hoplon,Hoplon,3910,2923,987,0,"1,000,000 .. 2,000,000",88,0,22,0,0,0,0,7,,,
396900,396900,GRIP: Combat Racing,Caged Element Inc.,Wired Productions,3895,3314,581,0,"200,000 .. 500,000",136,0,64,0,2999,2999,0,21,,,
270450,270450,Robot Roller-Derby Disco Dodgeball,Erik Asmussen,82 Apps,3823,3536,287,0,"200,000 .. 500,000",157,0,82,0,999,999,0,5,,,
6220,6220,FlatOut,Bugbear Entertainment,Strategy First,3816,3530,286,0,"200,000 .. 500,000",249,0,172,0,112,749,85,28,,,
208500,208500,F1 2012,Codemasters,"Codemasters, Electronic Arts",3755,3482,273,0,"200,000 .. 500,000",1377,0,1227,0,0,0,0,64,,,
618140,618140,Barro,SC Jogos,SC Jogos,3595,2792,803,0,"200,000 .. 500,000",237,128,67,128,99,99,0,30,,,
1070580,1070580,Drift86,RewindApp,RewindApp,3585,3291,294,0,"100,000 .. 200,000",589,0,138,0,199,199,0,19,,,
243800,243800,Gas Guzzlers Extreme,Gamepires,Gamepires,3553,3062,491,0,"200,000 .. 500,000",212,0,152,0,999,2499,60,9,,,
356400,356400,Thumper,Drool,Drool,3501,3222,279,0,"200,000 .. 500,000",255,0,329,0,1999,1999,0,8,,,
550320,550320,art of rally,Funselektor Labs Inc.,Funselektor Labs Inc.,3499,3293,206,0,"100,000 .. 200,000",415,0,542,0,2499,2499,0,37,,,
