_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
300580,300580,GALAK-Z,17-BIT,17-BIT,,507,370,137,0,"200,000 .. 500,000",258,0,342,0,1999,"19,99",1999,0,1,,
301840,301840,City of Brass,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,,692,549,143,0,"0 .. 20,000",96,0,108,0,1999,"19,99",1999,0,2,,
303690,303690,FATE: The Cursed King,WildTangent,WildTangent,,361,318,43,0,"100,000 .. 200,000",516,0,693,0,799,"7,99",799,0,13,,
304650,304650,SUNLESS SEA,Failbetter Games,Failbetter Games,,8347,6961,1386,0,"500,000 .. 1,000,000",308,0,339,0,1899,"18,99",1899,0,73,,
305460,305460,FranknJohn,bitSmith Games,bitSmith Games,,22,13,9,0,"0 .. 20,000",179,0,179,0,0,0,0,0,0,,
305640,305640,Shattered Planet,Kitfox Games,Kitfox Games,,604,414,190,0,"200,000 .. 500,000",303,0,303,0,1499,"14,99",1499,0,2,,
305780,305780,Echo of the Wilds,Anthony Case,Caiysware,,179,137,42,0,"100,000 .. 200,000",201,0,238,0,699,"6,99",699,0,1,,
306000,306000,Super Dungeon Bros,React Games,Wired Productions,,113,49,64,0,"20,000 .. 50,000",392,0,392,0,1999,"19,99",1999,0,1,,
306440,306440,Oblitus,Connor Ullmann,Adult Swim Games,,130,67,63,0,"20,000 .. 50,000",103,0,103,0,1499,"14,99",1499,0,0,,
306550,306550,Runers,LGK Games,Mastertronic,,274,225,49,0,"20,000 .. 50,000",129,0,129,0,999,"9,99",999,0,1,,
307090,307090,Fancy Skulls,tequibo,tequibo,,309,225,84,0,"50,000 .. 100,000",212,0,219,0,899,"8,99",899,0,0,,
307110,307110,We Need To Go Deeper,Deli Interactive LLC,Deli Interactive LLC,,4724,4093,631,0,"500,000 .. 1,000,000",443,26,354,26,1599,"15,99",1599,0,54,,
